record_key,mouse_record,sex_group,version,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,cohen_kappa,mcc,ari,nmi
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator3,annotator8,24292,0.9366869751358472,0.9089708783403064,0.9106991919510604,0.8677493532970258,0.8678577308007428,0.8207538188244434,0.6976392849188482
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator4,annotator5,24292,0.9523711509962127,0.9534179175261319,0.9379194193792345,0.901183155629265,0.9024702598099605,0.8533944787574316,0.7631415617989257
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator4,annotator6,24292,0.9374279598221636,0.9390806290314814,0.9185007437525612,0.8728091194947517,0.8779039602875279,0.818944326652561,0.7429599069754775
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator4,annotator7,24292,0.9485015643010044,0.9366189294652587,0.9299972615704664,0.891590419018179,0.8918652976889041,0.8454336816801932,0.7384075179329738
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator4,annotator8,24292,0.9303474394862506,0.9039287014818228,0.9010278592249904,0.8526435579773094,0.8527628880281376,0.8003664527222666,0.6729948583642917
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator5,annotator6,24292,0.9590811789889676,0.9487734351209213,0.9441874354119711,0.9185479468375,0.9200469989731265,0.8869046907871507,0.8097483663213612
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator5,annotator7,24292,0.940680059278775,0.9160027006403615,0.9233096945845142,0.8782374339656833,0.8785977319173511,0.8258899115458188,0.7246518330384515
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator5,annotator8,24292,0.9353696690268402,0.8974787404649494,0.9076451401251346,0.8667371788837828,0.8673439141677008,0.8259276437256994,0.7056674501599255
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator6,annotator7,24292,0.9305944343816894,0.9057763631855523,0.9111664331517391,0.8602382679142039,0.8632541244949178,0.8020170419438812,0.7122247051077845
Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator6,annotator8,24292,0.9285361435863659,0.8917489504019341,0.9004318485437534,0.8554962000177451,0.8590619056423953,0.8085990258879896,0.7047496724711327
